time,ip_address,packets_input,packets_output,packets_dropped
2023-06-04 09:22:05,67.176.52.206,1510821,731911,56438
2023-06-04 09:24:05,67.176.52.206,1511328,732375,56520
2023-06-04 09:26:04,67.176.52.206,1512293,732937,56604
2023-06-04 09:28:05,67.176.52.206,1515586,733842,56689
2023-06-04 09:30:04,67.176.52.206,1519834,735147,56780
2023-06-04 09:32:05,67.176.52.206,1533424,737220,56869
2023-06-04 09:34:05,67.176.52.206,1537536,738189,56960
2023-06-04 09:36:05,67.176.52.206,1542871,739160,57060
2023-06-04 09:38:05,67.176.52.206,1546229,739978,57151
2023-06-04 09:40:04,67.176.52.206,1550290,740927,57238
2023-06-04 09:42:05,67.176.52.206,1554457,741863,57326
2023-06-04 09:44:04,67.176.52.206,1558339,742740,57416
2023-06-04 09:46:05,67.176.52.206,1574018,745717,57512
2023-06-04 09:48:04,67.176.52.206,1580026,746999,57602
2023-06-04 09:50:05,67.176.52.206,1584032,747902,57699
2023-06-04 09:52:05,67.176.52.206,1592905,749908,57786
2023-06-04 09:54:05,67.176.52.206,1602261,751362,57876
2023-06-04 09:56:05,67.176.52.206,1615104,753889,57958
2023-06-04 09:58:04,67.176.52.206,1615648,754402,58057
2023-06-04 10:00:05,67.176.52.206,1626152,756773,58153
2023-06-04 10:02:04,67.176.52.206,1633509,758009,58253
2023-06-04 10:04:05,67.176.52.206,1638467,759052,58348
2023-06-04 10:06:04,67.176.52.206,1639192,759693,58441
2023-06-04 10:08:05,67.176.52.206,1645819,761005,58545
2023-06-04 10:10:05,67.176.52.206,1651444,762103,58643
2023-06-04 10:12:05,67.176.52.206,1656511,763302,58753
2023-06-04 10:14:05,67.176.52.206,1661370,764288,58857
2023-06-04 10:16:04,67.176.52.206,1667786,765471,58953
2023-06-04 10:18:05,67.176.52.206,1671220,766461,59042
2023-06-04 10:20:04,67.176.52.206,1675834,767401,59139
2023-06-04 10:22:05,67.176.52.206,1680072,768448,59223
2023-06-04 10:24:05,67.176.52.206,1680605,768923,59312
2023-06-04 10:26:05,67.176.52.206,1681080,769330,59414
2023-06-04 10:28:05,67.176.52.206,1681736,769968,59508
2023-06-04 10:30:05,67.176.52.206,1682198,770352,59597
2023-06-04 10:32:05,67.176.52.206,1682743,770829,59689
2023-06-04 10:34:04,67.176.52.206,1686979,774455,59789
2023-06-04 10:36:05,67.176.52.206,1694626,780665,59894
2023-06-04 10:38:04,67.176.52.206,1697835,783454,60051
2023-06-04 10:40:05,67.176.52.206,1698406,783993,60143
2023-06-04 10:42:05,67.176.52.206,1700642,785184,60230
2023-06-04 10:44:05,67.176.52.206,1702139,785851,60317
2023-06-04 10:46:05,67.176.52.206,1703802,787352,60408
2023-06-04 10:48:05,67.176.52.206,1705345,788425,60501
2023-06-04 10:50:05,67.176.52.206,1707532,789701,60609
2023-06-04 10:52:04,67.176.52.206,1709345,790853,60704
2023-06-04 10:54:05,67.176.52.206,1718064,792936,60791
